Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
3,3,28,2,5,42,9,0
3,13,18,2,9,26,3,1
1,4,43,1,10,8,-6,1
1,3,43,3,13,17,7,1
4,2,58,1,10,88,2,0
2,0,11,3,2,23,0,0
4,2,44,3,2,18,-2,1
2,1,53,2,10,20,-10,1
2,4,24,1,10,25,-4,1
4,14,3,3,9,14,4,1
3,6,11,3,4,96,10,0
1,7,3,2,10,22,-3,1
1,10,45,3,3,45,-7,1
1,3,5,1,10,85,7,0
4,7,10,2,8,49,1,1
2,8,14,3,8,53,7,1
2,10,18,1,3,97,-3,1
2,10,48,3,5,59,7,1
2,6,32,2,15,80,-7,1
2,6,38,2,6,42,7,0
1,5,36,1,10,82,-7,1
1,7,19,3,10,30,0,1
4,4,13,2,8,15,10,0
3,4,2,1,10,87,-1,0
3,6,44,2,4,25,5,0
4,3,43,3,16,39,-8,1
1,2,40,1,10,69,0,0
1,6,55,2,8,44,-7,1
2,9,40,2,1,25,7,0
1,12,28,1,10,40,0,0
1,5,21,2,19,15,7,1
3,13,37,2,5,14,-19,1
2,10,50,2,8,12,3,1
2,3,18,1,10,36,-23,0
3,9,33,1,10,20,-4,0
4,1,25,1,10,23,0,1
1,2,32,1,10,69,-3,1
4,10,0,2,10,23,-3,0
2,12,39,3,7,69,-3,1
1,3,41,2,4,77,3,1
2,0,30,3,1,61,21,1
2,1,21,1,10,32,-6,1
4,11,42,3,4,43,2,1
3,1,50,2,15,45,-7,1
2,8,17,2,1,90,17,0
1,12,58,2,7,84,0,1
3,3,20,1,10,60,-5,0
2,0,37,3,3,87,-15,1
2,8,8,1,10,25,-12,1
1,13,40,2,10,40,0,0
3,7,40,2,7,26,4,1
3,7,15,1,10,87,17,0
1,13,52,1,10,33,0,0
2,5,46,1,10,34,-7,0
2,6,14,2,9,49,4,0
4,5,18,3,13,87,9,1
1,1,26,2,4,10,-7,0
1,7,46,1,10,69,0,0
1,1,27,2,4,71,-7,0
1,3,49,1,10,69,-7,1
2,8,47,2,1,65,-11,0
2,10,55,1,10,24,-7,1
4,3,10,2,4,92,-6,1
2,13,43,2,7,45,3,1
5,11,27,1,10,63,0,0
1,11,24,3,3,49,0,1
1,0,8,1,2,98,-11,0
3,6,47,2,13,17,-10,1
3,12,15,2,5,30,-17,1
4,13,6,3,9,89,14,1
4,14,13,2,10,62,6,0
4,5,26,1,10,57,-15,1
2,10,6,2,10,61,14,0
4,6,35,3,8,59,-17,1
4,2,52,3,10,5,-14,1
4,3,5,1,10,48,-14,1
5,14,17,1,10,38,0,1
4,11,36,2,7,81,3,1
4,9,0,1,10,50,-16,0
1,9,59,3,4,17,0,1
2,0,19,1,10,29,0,1
1,7,8,3,2,28,-3,0
2,7,48,1,20,19,0,1
1,5,34,1,10,15,7,0
4,8,40,1,10,25,6,0
4,14,4,1,10,16,8,0
2,1,19,1,10,86,7,1
4,8,57,3,6,25,11,1
1,6,54,1,10,70,0,0
3,6,6,2,3,66,28,1
2,14,43,2,10,34,3,0
4,4,29,1,10,20,0,0
3,2,46,2,10,31,-22,1
1,9,25,1,10,15,0,0
2,1,5,1,10,32,-17,1
3,7,37,1,10,25,-13,0
4,7,44,1,10,25,-2,1
4,1,20,3,3,27,20,0
2,11,22,2,4,96,10,1
3,1,38,1,10,5,-3,0
3,4,30,1,10,39,0,1
4,4,53,1,10,89,10,0
2,14,7,1,10,25,-12,0
1,1,5,2,10,30,-6,1
2,2,24,2,10,89,4,0
3,10,24,1,20,71,-24,1
4,2,49,3,2,80,-25,1
1,11,36,2,4,65,0,0
2,13,36,1,10,32,0,1
1,14,51,2,10,17,0,0
4,8,34,1,10,54,14,0
2,1,3,1,20,69,10,1
2,9,9,3,12,34,-10,1
4,8,1,2,8,83,-14,1
3,10,6,3,6,78,0,1
4,1,29,1,1,99,-23,0
3,14,54,1,10,36,-2,0
2,11,57,2,6,41,7,1
2,13,40,3,1,23,-6,0
2,1,51,1,10,30,5,1
2,4,40,1,10,58,19,1
4,4,34,1,10,42,-7,0
1,2,19,3,10,20,-10,1
4,8,11,3,9,19,7,1
2,0,15,3,25,75,-9,1
1,7,23,3,2,28,0,0
1,12,5,2,6,24,-7,1
1,1,53,3,8,6,0,1
2,6,3,1,10,43,-7,1
3,13,24,2,6,29,11,0
4,2,50,4,4,60,-5,1
4,4,41,3,6,48,17,1
2,12,12,2,10,63,7,0
4,10,0,2,9,74,13,0
3,4,25,1,10,56,2,1
4,10,8,2,15,49,9,1
4,15,0,3,3,67,10,0
2,12,16,1,20,26,-10,1
4,13,34,2,5,30,4,0
3,10,26,1,10,10,0,0
2,1,11,3,10,86,7,1
4,9,5,3,5,37,-4,1
5,11,30,1,10,33,0,1
1,11,24,1,10,83,0,0
2,6,26,3,5,26,-4,1
3,6,44,1,10,80,0,1
1,9,3,2,10,52,-7,0
4,2,27,2,13,42,11,0
2,0,49,3,1,34,-14,1
1,13,8,2,8,50,0,1
4,2,41,2,11,40,1,1
4,2,1,1,10,33,-8,1
2,1,15,2,13,42,3,1
1,14,25,3,10,20,0,1
1,15,0,1,10,20,0,0
2,4,10,2,10,41,0,0
2,1,54,1,10,25,-6,1
2,3,41,1,10,28,-4,1
4,4,45,2,6,48,-21,1
3,8,18,2,10,12,7,0
1,10,26,1,10,10,0,0
4,1,58,2,1,99,-22,0
4,8,16,1,8,92,3,0
3,10,49,1,10,79,-10,1
2,13,7,1,10,13,-17,1
3,3,57,1,10,71,-3,0
4,6,43,1,10,56,-27,1
3,9,2,2,21,55,-13,0
4,11,53,2,8,90,1,1
2,8,32,3,2,39,-6,0
4,8,33,3,8,14,-25,1
4,8,44,1,10,51,17,0
4,3,53,3,4,48,-20,1
4,10,16,1,10,18,6,1
1,12,17,2,7,76,0,1
2,0,14,3,14,86,7,1
4,3,30,3,1,29,-40,1
2,14,26,2,6,24,-3,1
1,10,40,1,10,19,3,0
2,10,49,3,10,20,-8,1
1,10,20,2,10,25,0,0
5,15,0,1,10,25,0,0
3,9,16,1,10,15,-10,0
1,11,0,2,6,32,0,0
1,11,52,1,10,10,0,1
4,4,21,1,10,64,19,0
2,5,31,1,10,20,0,0
4,12,44,3,12,35,-21,1
3,11,37,3,7,28,-7,1
3,14,8,1,10,32,12,1
4,7,43,1,10,20,-1,1
4,14,9,2,10,36,20,0
3,5,38,1,10,34,-14,1
2,11,6,3,4,45,4,1
2,1,49,3,10,90,3,1
2,15,0,1,9,91,6,0
2,1,19,1,15,37,11,1
3,12,16,2,3,9,-3,1
3,2,8,1,10,63,13,0
2,4,15,2,8,10,0,1
4,1,35,3,5,19,4,0
1,1,59,2,6,45,10,1
4,11,59,3,7,23,-12,1
3,1,25,1,10,79,-9,1
1,5,56,2,23,23,0,1
2,1,28,1,10,22,-5,1
2,8,53,1,10,18,7,1
4,8,47,1,10,41,-7,0
2,12,37,1,10,65,20,1
3,12,12,1,10,67,14,1
2,8,21,1,10,60,5,1
2,13,45,2,3,55,7,0
1,9,44,1,10,65,0,0
4,1,20,2,1,55,-4,1
1,6,39,3,15,78,0,1
3,0,22,2,18,51,-28,1
3,10,51,1,10,46,-17,0
2,0,5,4,5,57,0,1
3,1,21,3,10,59,-1,0
3,14,35,1,22,13,-9,1
4,0,47,2,18,76,-6,1
2,13,25,1,10,46,-10,0
1,1,15,3,8,68,-7,1
2,0,12,3,3,40,-13,1
2,8,57,1,10,31,-9,0
2,13,35,2,2,43,0,1
4,14,3,2,9,71,-2,1
2,14,10,1,15,42,0,1
4,7,22,1,10,11,20,0
2,9,13,1,10,8,-10,0
4,8,41,2,12,18,-3,1
3,5,4,4,2,86,-3,0
2,9,10,2,15,20,4,1
2,13,16,1,10,73,-10,0
4,0,11,3,2,49,-8,1
1,8,57,2,8,57,0,1
4,14,4,3,7,91,-10,1
