Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
4,7,21,1,10,31,7,0
1,13,13,1,10,26,0,0
2,1,10,2,8,71,4,0
2,0,25,2,20,73,7,1
1,12,5,3,10,55,0,0
1,0,46,3,1,37,-7,1
4,0,47,1,7,93,-6,1
2,6,2,1,10,11,-13,0
5,14,33,2,9,21,0,0
4,1,12,2,8,52,6,1
2,9,33,1,10,75,4,1
1,5,44,2,1,99,0,1
1,6,44,3,1,80,0,0
2,4,33,1,10,67,-3,0
2,0,48,4,3,65,-14,1
3,9,36,2,10,73,-10,0
4,8,33,1,1,99,11,1
1,4,49,2,2,14,7,0
3,10,27,3,7,23,-10,1
2,4,20,1,10,41,3,1
4,7,8,1,6,94,17,0
4,2,55,2,8,43,6,1
1,6,42,3,6,71,-6,1
2,1,30,3,4,44,0,1
2,0,34,3,13,22,7,1
4,1,53,3,7,69,-2,1
2,1,8,1,10,48,17,1
3,12,28,2,10,76,8,0
4,7,44,3,12,18,-3,1
3,8,57,1,10,27,31,0
1,9,12,1,10,58,0,1
4,5,35,1,20,27,-6,1
4,10,40,2,10,78,-20,1
3,5,44,3,13,14,6,1
1,14,16,2,10,35,0,1
3,11,43,2,5,30,4,0
3,14,27,2,8,23,0,1
4,2,0,2,3,38,-12,1
2,8,40,2,12,23,3,1
4,12,25,1,10,86,-3,0
2,11,23,1,10,40,-7,1
1,2,55,1,10,63,-4,1
3,12,37,1,10,47,-2,1
2,10,4,1,10,16,10,0
1,2,36,3,10,41,0,1
3,1,16,1,10,87,3,0
1,3,55,1,10,15,-3,0
4,8,36,2,4,64,-20,1
4,0,16,1,10,32,-3,1
2,1,1,2,5,30,4,1
3,10,54,2,8,55,-5,1
2,7,56,3,10,20,0,1
1,11,56,2,1,53,0,0
4,10,56,3,9,28,-4,1
2,10,44,1,10,11,7,1
2,8,51,2,8,16,3,1
4,2,21,2,9,64,0,0
4,9,30,1,10,40,24,0
1,8,41,3,9,15,0,1
2,3,52,1,10,43,18,1
2,13,44,2,4,77,-5,1
5,6,52,3,4,82,-3,1
3,8,57,1,10,27,7,0
2,1,6,2,20,43,-5,1
1,7,38,1,10,82,0,0
1,7,55,3,19,55,0,1
4,14,23,2,3,53,0,0
2,12,52,2,6,29,4,0
2,1,34,1,10,51,-7,1
3,7,54,1,1,99,15,0
3,10,42,1,10,57,14,0
4,3,51,2,10,33,-2,1
2,12,12,1,10,20,-6,1
2,2,53,1,10,85,-6,0
1,2,45,2,16,62,-10,1
1,10,4,1,10,11,0,1
1,1,49,1,10,23,-7,0
4,4,15,3,2,32,24,1
4,9,51,1,10,54,4,1
1,0,43,3,10,56,0,1
1,11,14,1,10,7,0,1
1,1,12,2,9,30,7,0
2,0,16,2,10,56,-2,1
2,14,19,1,10,51,-1,0
4,2,39,2,16,35,-1,1
2,10,38,2,8,76,12,0
4,6,27,1,10,25,2,0
3,13,46,3,3,32,5,1
2,13,0,4,1,65,7,1
1,1,41,1,10,46,7,1
3,7,41,1,10,84,6,1
1,13,32,1,10,53,0,1
4,8,53,2,10,17,-7,1
4,12,15,1,10,48,-28,0
2,10,5,2,4,72,6,1
2,3,43,2,14,86,-7,1
1,13,13,1,10,47,0,0
4,12,32,4,2,95,-12,1
1,8,44,2,10,67,0,0
3,1,43,2,6,24,8,0
4,3,29,1,10,35,-14,1
2,2,51,2,8,50,-7,1
1,13,3,1,15,47,0,1
1,2,6,3,1,29,-16,0
4,6,2,1,10,32,0,1
4,7,58,2,10,53,-13,1
2,5,3,3,7,39,-6,1
2,1,32,1,10,66,14,1
2,8,29,2,10,51,-7,1
1,4,35,1,10,20,7,1
3,6,47,1,10,48,-13,1
2,1,5,3,10,39,-3,1
3,4,55,3,5,23,28,1
4,2,28,1,10,53,-3,1
1,13,10,2,12,44,0,1
4,1,18,1,10,69,14,0
3,1,27,1,10,44,5,0
2,14,8,2,5,30,-14,0
3,5,16,3,25,27,-7,1
4,11,19,2,9,91,16,1
2,0,45,2,17,54,-24,1
1,3,31,2,11,21,-7,1
3,3,35,1,10,56,-27,1
4,5,45,1,10,83,4,0
3,11,3,1,10,20,-6,0
4,9,15,2,8,47,-12,1
2,1,4,2,10,23,-10,1
3,3,38,1,10,41,-15,1
1,13,22,1,10,38,0,0
2,4,49,1,10,30,-14,1
1,5,34,2,9,25,-3,1
2,1,3,2,7,58,0,1
2,12,50,1,10,57,-7,0
3,6,3,3,7,74,-10,1
2,12,25,1,10,82,0,0
4,10,2,3,10,38,-7,1
4,4,59,2,16,49,-9,1
3,10,40,1,10,54,12,1
2,10,34,2,5,59,-3,1
3,4,47,1,1,99,-14,1
4,13,3,2,5,37,-37,0
3,13,19,2,16,29,-3,0
3,10,21,2,7,13,4,0
4,2,18,1,10,4,-14,1
4,2,32,1,10,56,-21,0
3,11,33,3,6,6,-6,1
3,5,3,1,10,35,-11,0
1,10,46,1,10,25,-3,0
2,4,41,1,10,32,3,1
4,4,20,1,10,34,-17,1
2,9,19,2,6,62,-3,1
2,0,20,2,5,95,-3,1
3,2,9,2,10,51,10,0
2,6,11,1,10,64,-6,0
1,0,31,1,10,77,3,0
1,3,7,1,10,69,-3,0
3,3,16,1,5,95,-21,0
3,8,21,2,11,14,-5,1
4,3,12,1,6,94,-28,1
3,4,42,2,7,35,-24,1
1,2,48,1,10,31,7,0
2,1,27,1,10,35,-1,1
2,0,11,2,15,85,3,1
1,6,26,4,4,62,0,1
1,8,27,2,7,36,-7,1
2,8,29,2,2,28,-10,1
4,9,45,2,10,24,2,0
3,10,44,1,10,37,7,0
1,4,17,4,1,99,0,0
3,7,44,2,10,47,30,1
2,11,48,2,11,21,0,1
2,1,29,1,10,47,10,1
3,2,30,2,4,26,-13,1
3,6,5,1,10,71,-17,0
4,8,15,3,1,29,-20,0
2,14,6,2,10,10,-10,1
4,15,0,3,6,22,-17,1
3,4,27,1,10,26,5,1
1,2,8,2,9,16,0,1
2,2,25,2,10,73,-11,0
4,12,40,1,9,91,-4,0
4,0,11,2,2,56,-9,1
4,10,39,3,12,48,23,0
3,15,0,1,10,20,-11,0
1,1,19,1,10,21,0,0
2,7,37,1,10,49,14,1
1,3,51,3,18,40,-7,1
4,2,0,3,8,65,38,1
3,13,37,3,6,26,7,1
4,3,19,3,7,32,13,0
4,10,11,1,10,20,-19,1
2,5,51,1,10,68,-3,1
2,12,9,2,8,62,-1,0
2,7,59,1,10,85,-13,0
3,5,54,2,9,60,-7,1
3,4,33,1,10,20,18,1
3,8,1,1,10,67,-17,1
3,0,20,3,8,30,0,1
2,2,26,1,10,71,-4,0
4,14,23,1,10,86,-7,0
3,6,34,2,6,35,17,1
4,0,5,0,0,35,3,1
3,0,53,2,9,87,3,1
1,4,34,3,9,20,3,1
1,9,48,1,10,69,0,0
2,5,59,1,10,22,-3,1
4,2,26,1,10,29,-14,1
1,10,42,1,10,30,0,1
4,3,9,4,1,42,6,0
2,5,19,2,7,42,10,1
3,0,31,2,9,51,25,1
3,3,0,3,5,53,-2,1
1,2,29,3,7,79,7,1
4,0,16,3,15,31,-3,1
3,10,22,1,10,82,-9,1
2,5,27,3,5,43,11,1
4,0,6,3,10,21,-8,1
4,2,0,1,10,37,8,0
1,14,12,3,20,15,0,1
2,2,48,2,10,33,7,1
1,0,49,1,10,68,7,0
4,2,0,4,8,81,10,1
1,7,34,1,10,25,-3,0
4,0,22,2,10,73,-21,1
1,3,44,1,10,25,-13,0
1,5,7,1,10,16,-3,0
1,13,30,2,10,45,0,0
3,0,37,1,10,76,-10,1
4,14,17,2,1,60,-22,0
2,12,7,3,6,69,6,1
3,9,31,1,10,37,-8,0
4,2,32,1,10,51,-13,1
1,9,41,2,1,99,-3,0
1,6,20,3,9,21,-3,1
1,12,27,2,5,32,0,1
3,7,45,1,10,45,-4,0
3,11,11,3,12,50,11,1
1,9,17,3,7,63,-1,1
3,1,8,2,8,67,-16,1
3,11,33,2,7,75,-4,1
4,3,22,1,10,65,-10,1
2,12,13,1,10,84,-14,0
4,14,20,1,10,51,-35,0
4,6,13,1,10,15,-27,1
3,1,36,2,10,48,4,1
2,6,5,2,4,96,-7,1
1,5,6,2,6,94,0,0
5,12,15,3,7,42,0,1
4,3,42,1,10,11,-14,1
1,14,32,3,1,30,0,1
2,0,50,1,10,45,-26,1
2,6,6,2,8,4,-10,0
2,10,7,3,12,50,7,1
2,4,4,2,6,55,-4,0
3,12,54,1,10,66,6,1
3,3,41,1,10,22,17,0
3,1,5,2,10,20,-13,0
1,11,15,2,13,47,-7,1
3,8,50,2,3,39,31,0
2,1,6,1,10,31,-26,1
2,1,4,1,10,52,19,0
4,11,20,2,10,23,-2,0
1,7,13,1,10,75,-7,0
2,15,0,3,17,31,7,1
4,4,40,2,17,58,-10,1
2,13,32,1,10,43,0,0
4,13,38,2,12,26,-3,1
4,7,45,3,4,26,-18,1
2,8,44,2,20,55,7,0
4,5,8,3,4,67,3,1
3,4,13,2,8,54,3,1
4,3,41,2,18,80,-26,1
3,1,19,1,10,31,-3,0
3,13,6,3,1,58,-25,0
1,13,5,1,10,21,0,0
1,1,35,3,4,43,-3,1
2,3,8,2,8,38,7,0
2,1,14,1,10,75,-18,1
4,2,41,3,9,70,3,1
2,2,31,1,10,73,-11,1
1,5,38,1,10,71,0,1
2,13,6,1,10,88,0,1
2,3,8,1,10,65,10,0
4,9,38,3,11,19,1,1
3,13,3,1,10,31,1,1
4,4,24,1,10,26,7,0
3,13,52,1,10,40,-11,1
1,1,4,2,11,26,0,1
2,13,55,1,10,63,8,0
2,12,58,1,10,28,6,0
1,6,36,1,10,51,0,0
4,2,58,2,7,93,6,1
4,12,49,1,10,25,-25,0
2,8,12,2,9,32,1,1
2,9,17,2,10,24,14,1
3,6,43,1,10,37,13,0
4,2,25,1,10,20,-23,1
1,13,36,1,10,81,0,1
4,9,29,1,10,13,0,1
1,11,51,1,10,64,0,0
3,14,18,3,4,26,21,1
2,11,8,2,14,72,3,1
3,0,24,1,10,75,14,0
3,8,11,1,10,64,12,1
3,9,3,1,10,71,-20,0
2,0,26,2,4,53,-9,1
1,4,7,1,10,79,-6,0
2,7,33,4,1,77,-4,1
1,13,55,1,10,32,0,1
3,7,46,2,9,47,-4,0
3,10,28,1,10,79,25,1
1,8,48,1,10,23,-3,1
1,2,3,1,10,77,0,1
2,15,0,3,9,35,-3,1
3,14,11,1,10,40,-4,0
3,12,45,3,8,70,17,1
4,6,30,2,10,48,-17,1
1,8,2,2,9,21,0,1
2,11,35,3,1,42,3,1
1,6,54,2,6,24,-4,0
4,5,20,1,10,49,-10,1
3,3,3,3,2,77,-10,1
3,15,0,1,10,25,7,0
4,3,28,3,3,27,7,1
3,6,51,1,10,36,-14,0
3,12,33,3,11,31,11,1
2,5,49,3,15,15,-17,1
4,7,45,1,10,49,-7,0
2,4,11,1,20,17,8,1
4,6,23,2,14,81,11,0
4,1,33,2,8,77,-1,0
4,4,59,1,10,78,7,0
4,4,2,1,10,45,-10,1
1,15,0,1,10,20,0,1
4,10,44,1,10,37,-7,1
2,9,21,2,10,25,0,1
2,4,44,1,10,61,13,0
3,4,10,2,10,67,11,1
1,9,2,3,3,43,3,0
3,2,11,2,3,94,27,0
3,7,56,2,18,53,-1,1
3,3,42,1,10,44,4,0
3,4,34,1,10,47,-28,0
3,6,13,1,10,12,4,0
4,3,56,2,10,77,-7,1
1,10,50,1,10,32,7,0
3,7,19,2,1,56,-4,0
3,14,30,2,10,25,-7,0
4,14,18,3,3,59,1,1
2,2,38,3,17,13,-11,1
4,4,59,2,9,17,3,1
2,0,14,2,10,45,-10,1
1,2,34,1,10,87,7,1
2,8,24,2,10,40,4,0
2,13,32,3,1,58,-7,0
5,8,29,2,8,52,0,0
3,7,49,3,2,24,17,1
2,4,12,2,5,72,-3,0
3,14,17,2,7,24,14,0
3,6,39,3,2,22,13,1
4,0,26,1,10,83,-7,1
4,2,47,2,7,59,7,0
1,13,41,2,10,25,0,0
4,0,25,1,10,36,0,1
1,9,31,1,10,13,7,1
4,12,45,2,8,22,-5,1
3,8,11,2,4,19,-14,0
2,1,57,1,10,20,1,1
3,10,28,1,10,27,-3,1
2,10,29,2,10,28,-3,0
2,13,2,3,1,34,-3,0
3,4,35,2,9,10,0,0
4,1,25,4,12,33,-13,1
1,11,18,2,4,59,0,0
2,4,2,1,10,41,-18,0
3,8,22,1,10,32,-7,0
1,5,50,2,1,44,3,0
1,6,16,3,7,36,-7,1
4,2,30,4,12,64,-19,1
4,4,54,3,12,53,21,0
1,11,24,2,4,96,0,1
3,2,22,1,10,36,6,1
3,4,44,1,10,30,-10,1
3,14,18,2,11,3,-6,1
3,9,44,1,10,51,11,1
1,2,39,1,10,31,6,0
3,0,53,3,4,93,-7,1
2,11,58,1,10,38,7,0
4,7,27,3,3,93,18,0
2,8,17,1,10,17,7,0
2,10,43,2,6,30,-3,1
4,3,47,1,10,12,5,0
4,13,55,2,10,85,-9,1
4,14,8,1,10,52,-5,0
4,4,23,2,2,27,-11,1
4,10,52,1,10,49,-10,0
2,6,9,2,8,74,11,1
4,11,27,3,4,16,21,1
2,1,27,3,4,55,-7,1
4,13,5,1,10,37,-19,1
4,15,0,1,3,97,-4,0
4,2,35,3,10,37,7,1
4,9,35,2,13,35,5,1
1,1,44,1,10,46,14,0
4,12,40,2,6,41,18,0
3,1,15,3,11,15,-3,1
1,10,42,2,10,31,0,0
4,2,0,2,10,43,-8,0
4,6,10,1,10,31,13,0
4,1,3,2,4,96,-3,1
4,14,40,1,10,68,-24,0
4,9,19,1,10,33,-10,1
1,8,23,1,10,35,0,1
4,0,56,2,20,70,-9,1
1,4,54,1,10,53,7,1
4,0,40,1,10,23,-1,1
3,5,21,1,10,36,6,0
2,0,26,3,4,31,5,1
2,11,57,1,10,64,4,0
1,8,15,1,10,43,0,1
2,12,48,2,22,16,3,1
4,0,44,2,10,74,-27,1
2,4,22,2,6,58,8,0
2,9,40,2,4,70,0,0
1,6,52,2,6,24,-7,1
4,2,0,3,3,63,21,1
3,3,22,1,10,38,7,1
2,7,50,1,5,40,-7,0
1,5,36,2,5,44,7,0
1,5,54,1,10,90,-7,0
1,3,44,3,10,54,3,1
2,6,29,1,10,20,17,1
4,6,41,1,10,47,8,0
3,3,35,1,2,98,-5,0
2,3,14,2,16,25,0,1
2,4,5,3,1,26,0,1
3,1,48,2,7,43,-4,1
3,14,53,1,10,24,-23,1
1,4,45,1,10,41,-3,1
3,7,6,1,10,86,-7,1
1,3,17,3,3,27,4,1
2,12,50,1,10,12,0,0
4,6,28,1,10,53,-4,1
4,3,56,1,20,69,2,1
3,4,49,3,7,54,-19,1
4,8,5,2,10,64,-1,0
4,11,26,3,5,30,-14,1
3,1,58,2,10,57,17,1
3,2,42,2,10,56,7,0
1,2,37,1,10,15,-4,0
1,2,3,1,10,44,-4,1
4,14,27,1,10,52,2,1
3,1,3,4,1,81,17,1
3,10,24,2,10,59,11,1
2,0,19,2,4,66,7,1
3,14,50,2,20,10,7,0
3,12,40,1,10,50,-2,0
4,5,34,1,10,31,-2,1
2,2,47,1,10,36,8,1
3,14,37,2,5,25,-17,1
3,0,40,1,10,25,-12,1
4,6,35,1,10,20,-18,1
1,2,19,1,10,82,0,1
1,11,30,1,10,72,0,0
2,1,55,2,9,52,-3,1
4,10,13,3,1,25,6,1
2,0,46,1,10,80,-7,1
1,13,29,2,4,67,0,0
3,12,17,1,10,39,8,0
3,12,41,1,10,42,-8,0
1,8,9,2,6,39,0,0
2,2,50,1,10,30,2,1
3,8,20,1,10,18,-30,0
4,9,53,3,4,68,-11,1
4,11,28,3,11,69,-3,1
4,6,30,4,6,47,-8,1
3,2,58,2,8,25,13,0
3,5,0,2,4,74,4,0
1,3,22,3,6,81,-10,1
3,2,36,3,5,64,-27,1
2,0,30,1,10,43,-8,1
2,6,42,1,10,20,20,1
1,12,18,2,9,48,0,1
2,14,32,2,10,49,-3,0
4,14,19,1,8,92,22,0
3,13,33,1,20,41,-5,1
1,5,31,1,10,81,0,0
4,14,37,1,10,65,1,0
2,3,50,1,10,57,-1,0
3,10,46,1,10,36,2,1
4,2,0,2,2,63,-24,0
1,1,10,1,15,15,-9,0
3,9,32,3,1,81,-4,0
1,4,1,3,1,34,-7,0
3,7,52,2,13,79,8,1
2,5,25,1,10,37,-10,1
2,4,10,1,10,55,-7,1
3,7,7,1,10,15,-3,0
3,5,2,2,7,90,0,1
1,8,2,2,11,23,-3,1
1,1,59,1,10,34,0,1
4,11,25,2,9,49,2,1
2,9,16,3,5,30,-10,1
1,9,24,2,15,42,0,0
1,7,27,1,10,20,4,1
3,2,59,1,10,28,-17,1
2,14,36,1,10,81,-7,0
1,5,51,1,10,84,0,1
4,0,0,0,0,0,13,1
4,7,56,1,10,32,-36,1
1,0,47,1,10,34,4,1
3,9,14,3,9,7,16,0
1,5,16,2,8,44,-3,0
4,1,23,1,10,87,-3,1
4,2,26,2,13,30,-1,1
1,14,19,2,8,27,0,0
4,7,53,1,10,21,-13,1
3,1,58,3,7,46,-11,1
4,4,36,2,8,7,1,1
4,6,56,2,11,19,-5,1
2,13,9,1,10,78,3,1
2,6,34,3,9,58,4,1
4,1,35,1,1,99,0,0
1,1,31,2,10,49,11,0
2,0,4,4,1,99,0,0
1,11,0,1,10,68,0,0
1,0,16,2,6,40,2,1
1,6,41,1,10,25,-6,1
3,10,51,2,7,23,-10,1
3,8,42,2,8,54,-1,1
4,2,46,2,3,61,4,0
3,5,5,1,10,23,-3,0
2,9,31,1,10,18,21,0
1,13,34,3,1,29,0,0
1,9,47,1,10,72,0,0
1,4,10,2,8,10,3,0
1,11,37,1,10,51,0,1
4,9,52,1,10,7,-18,0
2,4,34,1,10,87,0,0
2,13,21,1,10,45,-7,0
2,4,14,1,10,77,0,1
4,13,54,1,10,51,0,1
4,6,12,2,12,44,-9,1
4,10,36,1,10,20,-6,1
4,1,53,1,10,12,-6,1
3,9,56,1,10,22,-14,1
4,2,20,1,10,28,-10,1
3,0,31,1,10,62,10,0
3,2,32,1,10,29,-6,1
4,7,42,2,10,29,13,1
2,5,41,2,9,57,0,1
1,11,20,3,3,58,0,1
4,10,21,1,10,51,8,0
3,0,7,2,9,39,-3,1
2,6,54,2,1,50,0,1
4,9,13,3,12,52,-1,1
2,10,55,3,6,35,7,1
1,9,15,1,10,57,-14,1
4,14,56,3,5,75,-22,1
4,7,27,3,10,31,-25,1
3,12,13,2,4,48,21,0
4,9,41,2,7,93,-17,1
2,14,22,3,3,12,4,1
2,12,0,1,10,87,7,0
4,4,40,3,2,54,-9,1
3,3,21,3,8,87,-14,1
3,1,1,1,10,84,-31,1
4,8,20,2,7,66,4,0
1,2,13,1,10,31,-6,1
2,12,59,1,10,32,0,0
3,8,20,1,7,93,10,0
2,10,12,1,10,20,1,0
3,4,57,1,10,50,-1,0
1,7,7,3,8,52,-7,1
3,6,20,1,10,34,7,0
1,10,20,2,10,37,0,0
3,9,41,3,7,27,5,1
4,13,51,1,10,38,-36,1
1,3,5,2,7,31,0,1
1,2,23,3,2,63,7,1
4,15,0,1,16,6,-4,0
3,3,10,1,10,74,24,0
1,0,47,3,3,97,-7,1
4,10,19,4,16,60,-26,1
2,4,5,3,19,73,14,0
4,14,9,1,10,34,-7,1
3,2,41,3,3,47,27,0
2,0,36,1,10,67,10,1
3,15,0,1,10,20,-3,1
3,4,3,1,10,19,23,0
4,4,10,1,10,41,-2,1
2,2,51,2,7,44,17,1
4,3,9,2,21,18,-16,1
4,10,9,1,10,42,-3,0
3,7,3,2,9,81,-4,0
3,10,20,1,10,71,-1,0
2,13,15,1,10,67,-4,0
2,5,47,1,10,20,13,1
2,4,51,1,4,96,1,1
2,11,16,3,1,48,0,0
4,7,17,1,10,55,-20,1
3,15,0,1,10,58,4,1
2,6,17,1,10,57,-2,0
3,14,17,3,7,20,-10,1
2,0,10,2,10,41,7,1
3,13,7,3,8,60,0,1
2,2,16,1,10,73,-8,0
2,0,8,1,3,97,5,1
2,2,47,2,13,17,-10,1
4,7,20,1,10,32,26,0
4,11,14,1,10,67,-18,0
1,0,20,3,11,49,0,1
4,6,24,3,10,8,-16,1
1,13,41,2,10,49,0,0
4,12,25,1,10,30,-10,0
1,1,47,3,6,94,-10,1
3,14,54,1,10,8,-4,1
2,14,47,1,10,34,-3,0
3,11,0,1,10,31,-4,1
4,5,4,3,11,51,-7,1
2,9,24,1,10,42,7,0
2,1,56,1,10,36,-6,1
2,3,0,2,9,21,4,1
3,14,47,1,1,99,4,0
4,14,24,1,10,86,14,0
3,3,14,1,10,52,7,1
3,6,40,1,10,44,19,1
4,2,8,2,8,63,30,1
4,5,32,1,10,26,-4,1
4,8,45,1,10,41,3,1
4,14,58,3,1,59,6,0
1,7,55,2,8,24,3,0
4,11,9,1,10,26,2,0
4,1,19,3,14,21,-2,1
1,1,24,2,8,73,-7,1
4,6,58,1,5,95,-13,1
3,2,9,1,3,97,-15,0
1,11,12,1,10,8,0,1
4,3,30,1,10,20,-3,1
3,8,49,3,10,56,-6,1
3,13,56,3,17,18,-11,1
3,5,24,3,10,76,-5,1
3,13,16,1,10,70,-10,1
4,11,55,1,10,65,-4,1
4,14,1,1,10,63,-1,1
3,2,5,1,10,25,-14,1
3,1,7,1,10,45,-3,1
1,0,11,3,4,32,-7,0
4,7,24,2,5,72,-14,1
3,4,56,2,10,60,17,1
2,0,29,2,10,68,8,1
3,0,40,1,10,33,-4,0
4,8,38,3,2,28,-7,1
3,10,8,2,5,45,-3,0
4,6,2,3,20,15,-6,1
1,15,0,1,10,20,0,1
1,13,4,2,5,36,0,1
3,9,22,2,2,40,-4,0
4,11,31,1,10,71,10,1
4,14,19,3,7,27,-26,1
2,0,31,1,10,57,-14,1
1,10,29,1,10,8,0,0
1,14,33,2,10,35,0,0
3,7,48,1,10,20,-22,1
1,8,53,1,9,91,-3,0
2,5,15,2,17,83,4,0
2,11,15,1,10,15,-3,0
1,6,55,1,10,66,0,0
3,14,43,2,1,29,-4,0
3,4,37,1,10,20,-6,0
1,4,13,1,10,70,7,1
4,10,48,2,9,88,29,0
4,12,25,2,1,85,13,0
1,4,39,1,10,60,0,0
2,4,52,2,6,48,-10,1
3,7,17,3,6,90,-10,1
2,12,25,3,3,48,-10,0
1,1,18,2,17,25,-4,1
2,0,16,2,9,91,-10,1
2,5,11,1,10,57,11,0
1,11,25,1,10,34,0,1
2,13,52,1,10,67,-3,0
4,13,30,2,9,48,21,1
3,8,57,2,13,17,-10,0
2,1,1,2,10,60,-17,1
4,10,9,1,10,25,-11,1
1,4,58,3,11,52,7,1
3,6,16,2,10,39,-16,0
1,12,6,3,2,74,0,1
4,5,46,1,10,54,14,0
3,0,54,3,1,35,7,0
2,1,46,1,3,97,13,0
4,2,0,1,10,80,7,0
4,11,45,1,10,37,-12,1
3,13,35,2,14,66,20,0
3,14,22,2,3,27,3,1
3,11,21,2,2,57,5,0
1,1,16,2,6,24,-7,0
1,10,1,1,10,76,0,1
3,0,12,1,10,14,-7,0
3,4,32,1,10,83,-20,0
3,11,45,1,10,29,-14,0
3,1,9,2,2,96,-4,0
1,4,19,1,3,97,-3,0
1,15,0,1,10,20,0,1
2,3,58,1,10,52,0,1
4,1,36,2,23,73,-7,1
4,8,57,3,10,18,10,1
4,12,35,3,5,54,-15,1
3,5,9,2,3,26,0,0
2,4,30,3,1,61,7,1
4,1,52,1,10,3,0,0
1,11,2,3,7,93,0,1
1,1,15,1,10,66,3,0
2,14,14,2,2,98,4,0
2,14,55,4,6,57,-14,1
4,10,2,1,10,31,23,0
2,1,50,1,10,18,0,1
1,15,0,1,10,25,0,0
3,8,28,1,10,20,9,0
3,1,14,2,7,40,7,1
1,8,36,2,10,15,-6,1
4,5,9,1,10,53,-7,1
2,1,50,2,10,20,-8,1
2,0,39,2,25,5,-2,0
4,6,20,1,10,20,-1,1
3,7,36,2,15,20,-12,1
4,2,35,1,10,31,-29,1
3,5,15,3,9,26,6,1
4,1,17,3,8,30,4,0
3,11,52,2,10,64,-1,1
2,3,17,2,20,33,18,1
1,11,9,2,10,77,0,1
1,8,33,1,10,52,7,0
4,0,22,1,10,90,-33,1
1,8,59,1,10,30,0,0
4,8,6,2,5,73,4,1
4,14,20,3,8,92,-14,1
2,3,17,3,28,71,-3,1
1,4,8,2,2,33,-3,0
2,13,37,1,10,77,-4,0
4,11,53,1,10,87,-13,1
4,12,38,3,14,27,13,1
4,3,8,2,6,76,-38,1
4,3,51,3,8,92,14,1
4,4,56,1,10,19,-1,0
4,11,55,2,8,55,-18,1
4,14,48,1,10,20,18,1
2,1,40,1,10,43,1,1
3,6,51,2,10,54,-10,0
2,1,36,2,10,35,-3,1
1,14,53,1,10,18,0,0
3,10,47,1,10,28,-11,0
4,4,41,1,10,57,23,0
3,8,19,3,9,22,2,1
1,5,33,2,11,38,-7,1
3,3,45,3,6,37,-10,1
2,7,30,2,5,47,6,1
3,14,8,1,10,88,1,0
5,1,31,2,10,37,0,1
4,8,24,4,2,55,-27,1
4,12,59,1,10,37,3,1
3,0,31,1,10,87,-17,1
3,14,33,2,6,24,-7,0
3,7,21,3,3,52,-20,0
2,6,12,1,10,18,7,1
3,2,2,3,6,27,13,1
4,4,20,1,10,78,3,0
3,3,28,2,7,81,-4,1
4,2,23,1,10,61,1,0
1,6,3,1,10,46,0,0
4,7,48,3,1,75,-15,0
2,13,22,2,11,53,20,1
1,11,14,1,10,22,0,0
3,14,49,1,10,74,6,0
1,11,48,3,9,14,0,1
5,11,50,3,8,55,-5,1
4,1,24,1,10,57,-24,1
4,14,20,2,5,44,-15,1
3,9,35,3,6,38,-6,1
2,12,50,1,10,81,-10,0
4,1,19,1,10,40,-3,1
3,0,26,1,10,67,12,0
2,9,26,2,10,60,10,0
4,6,10,1,10,41,-18,1
3,11,3,3,6,24,-10,1
3,5,38,3,8,24,10,1
2,5,44,1,10,77,-12,1
4,1,49,4,10,86,-4,1
3,3,1,2,8,22,12,1
4,8,13,3,9,24,4,1
2,14,25,2,8,38,0,1
1,5,35,1,4,96,-7,0
1,6,31,2,5,30,-3,0
1,3,26,1,5,88,-3,1
4,5,18,1,10,32,-8,1
1,7,32,2,5,16,9,1
2,2,0,1,10,49,-18,1
1,13,54,1,10,41,0,0
2,7,29,1,10,31,-3,1
4,8,19,2,6,90,18,0
4,5,0,4,1,76,10,1
2,2,45,3,7,23,-4,1
4,12,49,2,11,40,18,1
3,4,48,1,10,72,4,0
2,9,27,1,10,74,7,0
4,1,33,2,2,28,-16,1
1,9,50,1,10,37,-7,0
2,4,46,3,13,28,14,1
2,7,9,1,10,40,-7,1
4,4,48,3,3,78,-7,0
4,1,9,4,11,64,10,0
3,3,56,3,3,26,-4,1
3,12,54,2,8,34,11,1
1,2,31,3,4,30,-3,1
2,0,34,1,10,50,3,1
4,7,27,3,8,54,0,1
1,3,42,2,8,91,0,1
2,1,2,1,10,81,-20,1
1,8,49,2,16,25,-3,1
4,1,58,3,1,29,6,1
2,2,28,3,2,28,-3,1
4,15,0,1,10,74,-26,1
1,13,49,2,8,27,0,1
2,4,37,1,10,51,-4,0
4,0,21,3,4,74,-7,1
1,12,49,2,10,62,0,0
4,9,28,3,17,18,-22,1
3,8,36,1,10,57,-4,0
3,1,56,1,10,86,-10,0
1,11,58,2,8,54,7,0
4,7,20,1,10,54,11,0
1,15,0,1,10,25,0,0
2,1,44,1,10,16,-6,0
1,11,28,1,10,18,-7,0
4,3,24,2,1,87,-2,1
1,14,20,2,15,15,0,1
3,1,15,1,10,23,14,0
4,4,45,1,10,56,-7,0
2,7,51,1,10,49,-6,1
2,0,20,1,10,65,0,1
4,15,0,2,7,6,30,0
1,12,10,1,10,40,0,0
2,3,6,1,10,52,4,0
3,0,57,2,7,53,-13,1
1,11,56,3,8,39,0,1
